Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
1430516395375,8438,Login POST,200,OK,Thread Group 1-45,text,true,47724,70,70,1575
1430516395391,8442,Login POST,200,OK,Thread Group 1-40,text,true,47987,70,70,1574
1430516395425,8878,Login POST,200,OK,Thread Group 1-46,text,true,47862,70,70,1564
1430516395441,8992,Login POST,200,OK,Thread Group 1-41,text,true,47802,70,70,1955
1430516395458,9147,Login POST,200,OK,Thread Group 1-44,text,true,47931,70,70,1943
1430516395491,9137,Login POST,200,OK,Thread Group 1-50,text,true,47925,70,70,1945
1430516395474,9171,Login POST,200,OK,Thread Group 1-49,text,true,47843,70,70,1944
1430516397550,7150,Load random friend,200,OK,Thread Group 1-1,text,true,1836,70,70,7150
1430516395509,9620,Login POST,200,OK,Thread Group 1-47,text,true,47899,70,70,1932
1430516395525,9729,Login POST,200,OK,Thread Group 1-53,text,true,47831,70,70,1934
1430516395541,9815,Login POST,200,OK,Thread Group 1-48,text,true,47752,70,70,2007
1430516395525,9908,Login POST,200,OK,Thread Group 1-51,text,true,47800,70,70,2000
1430516395558,9969,Login POST,200,OK,Thread Group 1-52,text,true,47901,70,70,2005
1430516395578,10355,Login POST,200,OK,Thread Group 1-58,text,true,47729,70,70,1988
1430516397792,8204,Load random friend,200,OK,Thread Group 1-6,text,true,1832,70,70,8203
1430516397802,8274,Login Page,200,OK,Thread Group 1-69,text,true,2375,70,70,8274
1430516395596,10498,Login POST,200,OK,Thread Group 1-55,text,true,47805,70,70,1994
1430516397816,8363,Load random friend,200,OK,Thread Group 1-3,text,true,1839,70,70,8363
1430516395591,10604,Login POST,200,OK,Thread Group 1-54,text,true,47966,70,70,2002
1430516395632,10633,Login POST,200,OK,Thread Group 1-57,text,true,47852,70,70,1982
1430516397864,8440,Login Page,200,OK,Thread Group 1-70,text,true,2375,70,70,8440
1430516397888,8442,Login Page,200,OK,Thread Group 1-7,text,true,2375,70,70,8442
1430516395666,10775,Login POST,200,OK,Thread Group 1-59,text,true,47831,70,70,1954
1430516397915,8567,Login Page,200,OK,Thread Group 1-4,text,true,2375,70,70,8567
1430516398001,8511,Load random friend,200,OK,Thread Group 1-9,text,true,1824,70,70,8511
1430516398422,8135,Load random friend,200,OK,Thread Group 1-8,text,true,1832,70,70,8135
1430516398670,7927,Load random friend,200,OK,Thread Group 1-11,text,true,1830,70,70,7927
1430516398688,7936,Load random friend,200,OK,Thread Group 1-10,text,true,1833,70,70,7936
1430516398713,7957,Load random friend,200,OK,Thread Group 1-12,text,true,1844,70,70,7957
1430516398745,7960,Login Page,200,OK,Thread Group 1-2,text,true,2375,70,70,7960
1430516398845,7894,Load random friend,200,OK,Thread Group 1-17,text,true,1825,70,70,7894
1430516399241,7539,Load random friend,200,OK,Thread Group 1-14,text,true,1827,70,70,7539
1430516399441,7377,Load random friend,200,OK,Thread Group 1-13,text,true,1829,70,70,7377
1430516399492,7373,Load random friend,200,OK,Thread Group 1-20,text,true,1830,70,70,7373
1430516399520,7370,Load random friend,200,OK,Thread Group 1-16,text,true,1824,70,70,7370
1430516396292,10702,Login POST,200,OK,Thread Group 1-56,text,true,47918,70,70,1518
1430516399621,7421,Load random friend,200,OK,Thread Group 1-19,text,true,1815,70,70,7421
1430516396382,10714,Login POST,200,OK,Thread Group 1-60,text,true,47911,70,70,1455
1430516400336,6801,Load random friend,200,OK,Thread Group 1-22,text,true,1829,70,70,6801
1430516400113,7042,Load random friend,200,OK,Thread Group 1-18,text,true,1828,70,70,7042
1430516396454,10718,Login POST,200,OK,Thread Group 1-61,text,true,47839,70,70,1385
1430516400471,6725,Load random friend,200,OK,Thread Group 1-25,text,true,1815,70,70,6725
1430516400355,6844,Load random friend,200,OK,Thread Group 1-15,text,true,1829,70,70,6844
1430516400533,6709,Load random friend,200,OK,Thread Group 1-23,text,true,1829,70,70,6709
1430516400942,6306,Load random friend,200,OK,Thread Group 1-21,text,true,1841,70,70,6306
1430516401167,6153,Load random friend,200,OK,Thread Group 1-24,text,true,1827,70,70,6153
1430516401193,6149,Load random friend,200,OK,Thread Group 1-27,text,true,1814,70,70,6149
1430516396546,10814,Login POST,200,OK,Thread Group 1-62,text,true,47797,70,70,1364
1430516401319,6068,Load random friend,200,OK,Thread Group 1-29,text,true,1824,70,70,6067
1430516401798,5595,Load random friend,200,OK,Thread Group 1-30,text,true,1837,70,70,5595
1430516401348,6064,Load random friend,200,OK,Thread Group 1-28,text,true,1838,70,70,6064
1430516402003,5437,Load random friend,200,OK,Thread Group 1-26,text,true,1825,70,70,5437
1430516401926,5553,Load random friend,200,OK,Thread Group 1-32,text,true,1836,70,70,5553
1430516402113,5386,Load random friend,200,OK,Thread Group 1-31,text,true,1833,70,70,5386
1430516402134,5371,Load random friend,200,OK,Thread Group 1-34,text,true,1829,70,70,5371
1430516402593,4956,Load random friend,200,OK,Thread Group 1-37,text,true,1830,70,70,4955
1430516402853,4707,Load random friend,200,OK,Thread Group 1-33,text,true,1824,70,70,4707
